2021-11-05 15:17:53	[Main thread]	WARN	Achilles	3	Cohort table not found, will skip analyses 1700 and 1701
2021-11-05 15:17:53	[Main thread]	INFO	Achilles	achilles	Beginning single-threaded execution
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_rawCost' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Procedure_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Procedure_rawCost' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1502' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1502' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1502' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1503' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1503' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1503' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1504' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1504' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1504' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1505' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1505' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1505' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1506' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_Drug_cost_raw' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_overallStats_1506' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_priorStats_1506' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
2021-11-05 15:17:55	[Main thread]	WARN	SqlRender	translate	warning: Temp table name '#s_tmpach_statsView_1507' is too long. Temp table names should be shorter than 22 characters to prevent Oracle from crashing. 
